user id,age,gender,occupation,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
26,49,M,engineer,0,35,17,2,4,33,9,0,41,0,1,3,0,6,20,16,29,8,1
27,40,F,librarian,0,10,4,1,1,1,1,0,12,0,0,2,1,1,3,4,13,4,0
28,32,M,writer,0,26,16,2,3,11,6,0,18,1,1,22,4,3,7,27,31,5,1
29,41,M,programmer,0,10,1,1,2,7,5,0,15,0,2,1,0,2,4,4,17,5,1
30,7,M,student,0,18,14,1,5,19,3,0,12,1,0,0,3,1,12,10,9,5,1
31,24,M,artist,0,5,3,0,0,5,4,3,13,0,4,1,2,9,10,3,9,2,0
32,28,F,student,0,15,10,2,2,15,4,0,14,0,0,2,0,2,8,9,11,5,0
33,23,M,student,0,11,1,0,0,1,3,0,9,0,0,5,0,5,4,4,15,3,0
34,38,F,administrator,0,1,0,0,1,4,5,0,13,0,1,1,1,2,3,0,4,3,0
35,20,F,homemaker,0,11,4,0,3,7,2,0,7,0,0,0,0,4,3,3,11,2,0
36,19,F,student,0,3,1,0,2,6,1,0,8,0,0,4,2,4,5,1,6,0,0
37,23,M,student,0,50,20,0,0,3,9,0,7,1,1,3,0,1,9,17,27,5,0
38,28,F,other,0,32,23,10,30,43,2,0,24,3,1,18,12,3,18,15,24,7,1
39,41,M,entertainment,0,4,0,0,0,7,2,0,11,0,1,2,2,3,4,2,8,0,0
40,38,M,scientist,0,8,2,0,2,11,3,0,18,0,1,1,0,3,3,5,11,4,0
41,33,M,engineer,0,12,5,2,3,19,4,0,24,1,0,0,2,2,13,9,10,11,2
42,30,M,administrator,0,43,31,13,21,59,6,1,66,5,0,8,13,5,43,25,36,10,3
43,29,F,librarian,0,51,28,20,27,87,17,1,81,6,1,7,16,8,60,20,40,18,4
44,26,M,technician,0,44,34,11,16,44,10,1,51,2,1,11,14,8,25,37,34,18,2
45,29,M,programmer,0,10,12,5,8,24,4,0,12,3,1,1,4,0,9,7,7,3,0
46,27,F,marketing,0,8,3,1,2,3,5,0,15,0,0,2,1,4,8,3,9,5,0
47,53,M,marketing,0,1,1,0,1,5,3,1,12,0,1,2,1,5,3,1,5,1,0
48,45,M,administrator,0,13,11,1,7,17,7,1,30,2,4,2,4,5,10,7,12,10,1
49,23,F,student,0,37,20,21,29,88,25,2,71,5,3,18,17,8,35,28,41,7,0
50,21,M,writer,0,0,0,0,0,2,5,1,17,0,1,2,1,3,8,0,4,1,0
51,28,M,educator,0,9,10,0,1,5,1,0,9,0,0,1,3,2,8,4,3,3,1
52,18,F,student,0,9,7,3,4,12,3,0,30,0,2,1,3,4,9,8,9,6,0
53,26,M,programmer,0,15,9,0,1,5,4,0,8,0,0,0,0,0,5,9,8,4,0
54,22,M,executive,0,29,15,3,3,11,9,1,21,2,2,3,0,8,10,11,30,5,0
55,37,M,programmer,0,17,9,0,0,1,3,0,4,0,1,0,0,1,3,6,10,4,0
56,25,M,librarian,0,70,41,18,25,81,7,0,39,4,1,10,13,3,36,37,39,12,6
57,16,M,none,0,31,18,5,12,46,8,0,22,3,0,2,3,2,13,19,27,9,0
58,27,M,programmer,0,25,16,6,6,59,14,5,67,1,3,3,3,7,37,18,30,13,1
59,49,M,educator,0,73,44,17,31,107,23,4,162,5,12,25,21,16,75,39,71,33,11
60,50,M,healthcare,0,42,29,6,19,51,8,0,85,5,7,12,18,15,36,30,38,24,5
61,36,M,engineer,0,6,3,0,2,6,1,0,7,0,0,0,0,4,3,2,8,2,0
62,27,F,administrator,0,64,42,5,14,60,13,2,108,4,3,10,11,7,54,35,48,26,2
63,31,M,marketing,0,15,8,5,8,31,4,1,42,0,1,1,4,5,19,8,21,5,0
64,32,M,educator,0,60,37,9,19,56,16,5,78,4,1,12,13,6,36,33,39,26,4
65,51,F,educator,0,11,7,1,3,29,5,2,46,1,0,1,0,5,23,9,9,8,4
66,23,M,student,0,16,9,1,1,9,3,0,14,0,0,1,1,1,8,8,12,5,0
67,17,M,student,0,12,6,2,2,15,2,0,4,1,0,2,0,1,2,3,6,2,0
68,19,M,student,0,9,5,1,1,8,1,0,18,1,0,1,1,1,11,6,6,6,0
69,24,M,engineer,0,20,8,1,1,12,11,2,28,0,1,4,1,5,11,10,24,6,0
70,27,M,engineer,0,48,37,22,34,42,5,2,28,6,1,7,21,4,20,34,21,11,0
71,39,M,scientist,0,6,6,0,1,8,5,0,23,0,2,0,1,2,8,8,4,4,1
72,48,F,administrator,0,46,24,1,2,20,16,2,67,1,6,2,1,12,20,21,40,18,5
73,24,M,student,0,10,4,3,4,17,7,2,31,0,2,2,2,2,12,13,15,6,0
74,39,M,scientist,0,7,2,0,1,6,4,1,22,0,1,3,0,6,7,4,12,4,0
75,24,M,entertainment,0,18,10,6,7,35,5,0,20,3,0,2,2,3,12,7,19,5,0
76,20,M,student,0,11,6,0,0,12,14,1,46,0,1,4,1,9,18,18,19,6,1
77,30,M,technician,0,27,18,1,3,16,4,0,31,0,2,2,3,3,14,17,14,14,1
78,26,M,administrator,0,3,1,0,0,12,1,1,6,1,0,1,1,1,4,3,3,0,0
79,39,F,administrator,0,6,3,1,1,14,2,2,38,0,0,1,1,3,14,5,7,5,0
80,34,F,administrator,0,4,1,0,1,6,2,0,18,1,0,2,0,1,8,3,5,4,0
81,21,M,student,0,10,5,4,5,24,3,0,23,1,0,2,4,2,11,4,13,3,0
82,50,M,programmer,0,30,25,14,23,54,9,1,58,3,3,10,11,9,32,16,27,18,4
83,40,M,other,0,46,29,6,29,74,5,0,42,6,0,4,6,6,33,13,32,12,2
84,32,M,executive,0,17,7,3,6,23,6,0,26,1,1,0,3,3,15,5,22,8,1
85,51,M,educator,0,46,32,10,23,87,11,2,152,2,5,4,24,14,52,26,29,33,8
86,26,M,administrator,0,5,1,0,2,7,1,0,8,0,0,1,2,2,6,2,5,4,0
87,47,M,administrator,0,75,33,0,8,113,19,2,51,4,2,4,8,2,40,30,31,19,10
88,49,F,librarian,0,4,0,0,2,7,2,0,12,1,1,0,1,1,6,0,5,3,0
89,43,F,administrator,0,11,8,2,2,37,3,1,39,0,0,0,1,1,37,7,3,4,0
90,60,M,educator,0,31,15,1,9,78,20,6,173,2,8,8,13,19,69,11,49,29,5
91,55,M,marketing,0,33,18,3,6,11,7,0,46,1,2,6,6,9,15,16,24,19,3
92,32,M,entertainment,0,103,55,15,24,130,33,4,133,6,4,28,18,15,69,56,101,27,5
93,48,M,executive,0,4,4,2,4,9,0,0,8,1,0,0,0,0,7,3,1,2,0
94,26,M,student,0,102,52,20,37,128,33,4,155,6,9,29,24,16,67,47,74,34,14
95,31,M,administrator,0,78,55,18,47,81,8,2,97,7,2,17,22,9,57,36,44,29,9
96,25,F,artist,0,15,5,1,4,15,7,2,17,1,4,5,1,3,11,11,15,7,1
97,43,M,artist,0,16,14,5,4,20,3,2,22,1,2,3,3,4,8,18,13,6,3
98,49,F,executive,0,3,3,0,0,25,1,0,5,0,0,0,2,2,7,1,2,2,1
99,20,M,student,0,39,17,3,2,45,16,0,53,1,0,8,2,8,30,9,44,10,2
100,36,M,executive,0,13,3,0,1,12,4,0,31,1,2,3,1,4,9,5,19,5,0
101,15,M,student,0,20,18,3,6,25,1,0,18,3,0,3,1,1,15,10,16,4,1
102,38,M,programmer,0,101,49,14,17,70,23,0,39,5,3,28,12,10,32,45,57,17,4
103,26,M,student,0,17,9,0,0,8,3,0,6,0,0,1,0,1,6,9,8,6,0
104,27,M,student,0,25,10,0,0,32,18,1,57,1,3,3,1,10,20,13,28,10,1
105,24,M,engineer,0,6,1,0,0,2,3,0,11,0,1,3,0,5,5,5,9,3,0
106,61,M,retired,0,12,8,1,4,20,4,1,40,0,0,0,0,1,18,1,9,6,2
107,39,M,scientist,0,4,1,0,1,5,4,0,9,0,1,2,0,6,3,3,9,2,0
108,44,M,educator,0,11,7,1,2,9,2,0,14,0,0,0,2,2,11,7,6,6,0
109,29,M,other,0,87,47,7,15,72,22,0,72,6,2,16,10,7,36,41,64,17,2
110,19,M,student,0,50,13,0,4,48,14,0,43,1,1,6,1,4,26,11,40,8,4
111,57,M,engineer,0,3,1,0,1,5,2,0,13,0,1,1,0,4,6,1,6,2,0
112,30,M,salesman,0,10,1,0,0,8,8,0,27,0,1,1,1,7,8,1,19,5,0
113,47,M,executive,0,11,3,0,0,9,6,0,28,0,1,2,2,6,9,6,17,4,0
114,27,M,programmer,0,9,5,0,0,11,6,0,22,0,2,2,2,6,5,12,13,8,1
115,31,M,engineer,0,25,11,3,3,12,11,4,41,1,6,4,2,4,12,12,27,9,3
116,40,M,healthcare,0,33,15,2,5,20,14,1,72,0,3,5,3,16,28,20,44,11,3
117,20,M,student,0,32,19,4,6,25,6,0,24,2,0,6,5,2,13,23,30,7,0
118,21,M,administrator,0,13,10,0,1,10,9,2,28,1,1,20,2,5,5,12,21,9,0
119,32,M,programmer,0,60,32,1,4,43,15,1,82,2,3,3,5,5,31,25,50,15,1
120,47,F,other,0,13,9,1,1,3,1,0,14,0,0,0,0,1,4,5,7,6,0
121,54,M,librarian,0,19,9,1,1,13,7,1,43,2,0,0,0,5,17,10,17,10,0
122,32,F,writer,0,5,3,0,1,10,5,0,47,1,1,0,1,3,10,5,5,5,4
123,48,F,artist,0,5,3,1,2,13,6,1,33,0,1,2,6,2,17,2,9,5,1
124,34,M,student,0,12,5,1,1,5,1,0,8,0,0,1,1,0,3,7,10,4,0
125,30,M,lawyer,0,33,17,2,9,118,8,1,41,3,1,3,10,7,37,20,24,21,4
126,28,F,lawyer,0,13,1,0,2,7,4,1,23,0,1,4,2,9,9,3,18,4,0
127,33,M,none,0,14,11,0,1,3,0,0,5,0,0,2,0,0,4,13,3,4,0
128,24,F,marketing,0,32,23,9,19,58,4,2,85,1,1,0,18,8,59,14,25,13,2
129,36,F,marketing,0,6,2,0,1,4,3,0,18,0,1,2,0,3,9,2,11,3,0
130,20,M,none,1,120,57,19,35,92,30,1,102,5,3,35,17,12,47,55,102,17,3
131,59,F,administrator,0,2,0,1,1,7,5,1,21,0,1,0,0,2,6,0,2,2,0
132,24,M,other,0,4,2,0,1,4,5,0,12,0,1,0,0,2,3,3,3,3,1
133,53,M,engineer,0,8,3,0,4,7,2,0,11,1,0,1,0,4,6,5,9,3,0
134,31,M,programmer,0,9,0,1,4,9,1,0,10,1,1,0,0,2,5,1,9,3,0
135,23,M,student,0,22,10,0,0,4,11,0,17,0,2,8,0,4,4,11,28,2,2
136,51,M,other,0,6,2,0,0,6,3,2,24,0,2,0,0,2,8,5,4,5,0
137,50,M,educator,0,28,14,1,4,13,2,0,9,3,1,1,1,3,11,14,14,8,1
138,46,M,doctor,0,6,4,1,2,18,6,0,25,0,1,1,2,4,10,3,9,6,1
139,20,M,student,0,2,1,0,0,2,4,0,19,0,1,2,0,2,5,1,4,3,0
140,30,F,student,0,2,1,0,1,6,3,0,9,0,1,1,2,3,6,1,6,2,0
141,49,M,programmer,0,31,14,1,6,37,8,1,36,1,1,1,0,5,20,13,34,8,0
142,13,M,other,0,9,4,3,3,13,2,0,8,0,1,2,3,4,4,6,12,2,0
143,42,M,technician,0,5,2,0,0,2,1,0,9,0,0,3,0,5,3,2,11,4,0
144,53,M,programmer,0,48,18,2,7,52,21,5,116,3,4,5,5,14,41,23,44,22,3
145,31,M,entertainment,0,81,44,4,13,93,29,0,102,7,7,33,4,19,60,49,99,19,5
146,45,M,artist,0,5,3,0,1,8,5,2,13,1,1,1,1,5,5,3,9,3,0
147,40,F,librarian,0,3,1,0,1,5,1,0,14,0,1,0,1,1,4,2,3,2,0
148,33,M,engineer,0,12,15,14,15,20,3,0,25,0,1,2,11,2,9,13,5,10,1
149,35,F,marketing,0,7,0,0,1,10,4,0,25,1,1,0,1,5,6,1,11,3,0
150,20,F,artist,0,7,3,1,2,9,6,0,17,0,0,2,1,3,9,4,7,4,0
151,38,F,administrator,0,45,28,10,15,110,12,3,137,3,11,11,22,20,76,30,46,25,8
152,33,F,educator,0,15,7,2,6,54,2,0,43,2,0,2,8,1,51,4,8,12,2
153,25,M,student,0,12,4,0,0,3,4,0,12,0,0,0,0,1,5,4,7,4,1
154,25,M,student,0,8,5,0,0,10,6,0,25,0,5,3,2,8,8,10,8,8,0
155,32,F,other,0,6,1,0,0,4,2,0,9,0,0,1,1,4,8,0,10,3,0
156,25,M,educator,0,6,1,0,0,4,6,1,29,0,0,0,0,1,3,0,5,10,3
157,57,M,engineer,0,18,5,1,1,18,5,0,21,0,0,0,1,1,13,5,12,4,0
158,50,M,educator,0,81,37,2,2,55,27,0,48,2,5,6,2,7,33,35,39,22,6
159,23,F,student,0,30,11,2,7,43,9,0,30,3,1,1,7,6,28,11,27,6,0
160,27,M,programmer,0,24,13,6,5,33,17,2,51,1,4,8,3,8,16,11,26,7,2
161,50,M,lawyer,0,13,7,1,4,18,6,1,31,0,1,0,3,3,17,5,7,8,2
162,25,M,artist,0,18,11,1,2,11,7,0,10,0,0,1,0,0,5,10,14,4,0
163,49,M,administrator,0,5,1,0,0,7,1,0,14,0,0,2,0,0,3,1,5,4,1
164,47,M,healthcare,0,27,12,0,0,7,7,0,25,2,2,2,0,7,10,8,33,7,0
165,20,F,other,0,10,5,2,5,7,4,0,12,0,0,1,3,2,6,6,9,6,0
166,47,M,educator,0,7,0,0,2,6,1,0,6,0,0,2,0,2,5,2,9,2,0
167,37,M,other,0,12,8,4,7,25,1,2,26,0,1,4,1,4,13,6,10,7,3
168,48,M,other,0,22,12,3,6,25,2,0,23,2,0,2,3,2,14,10,22,4,0
169,52,F,other,0,11,7,1,3,10,2,0,12,1,1,2,2,3,8,7,7,9,0
170,53,F,healthcare,0,7,1,0,2,7,2,0,7,0,1,1,0,3,3,1,10,3,0
171,48,F,educator,0,3,1,0,1,2,3,1,22,0,1,1,0,2,6,2,5,4,0
172,55,M,marketing,0,2,1,0,0,8,1,0,12,0,3,1,1,2,8,1,4,2,1
173,56,M,other,0,9,1,0,1,11,6,0,21,0,2,0,2,7,6,2,13,6,0
174,30,F,administrator,0,17,16,4,21,90,14,0,72,2,2,2,7,5,44,6,26,6,2
175,26,F,scientist,0,13,4,1,3,6,7,0,18,0,0,3,5,0,7,6,12,6,1
176,28,M,scientist,0,14,8,1,1,19,5,0,36,0,0,2,2,4,13,11,11,3,0
177,20,M,programmer,0,33,10,1,3,24,21,0,52,0,5,6,4,12,18,22,34,11,2
178,26,M,other,0,87,44,8,15,78,21,0,99,2,5,10,11,15,68,33,69,28,8
179,15,M,entertainment,0,9,2,1,1,11,5,0,20,0,2,5,2,6,4,5,15,2,0
180,22,F,administrator,0,16,8,0,1,24,4,0,28,1,0,1,1,2,21,8,12,6,0
181,26,M,executive,1,58,31,9,27,132,29,13,188,6,3,15,8,17,61,21,76,14,2
182,36,M,programmer,0,6,5,2,3,9,2,1,12,1,0,1,1,2,7,7,2,6,1
183,33,M,scientist,0,29,18,0,2,9,3,0,11,0,0,0,1,4,12,20,16,6,3
184,37,M,librarian,0,37,21,6,11,75,15,5,141,3,5,9,14,9,67,19,26,21,3
185,53,F,librarian,0,5,2,1,1,10,3,1,32,1,1,1,0,2,11,5,7,9,0
186,39,F,executive,0,30,13,5,10,13,13,0,25,2,3,2,4,10,7,7,51,2,3
187,26,M,educator,0,8,3,0,2,23,0,1,31,1,0,0,3,3,16,5,5,5,2
188,42,M,student,0,38,18,1,3,24,11,0,44,0,2,6,5,5,22,12,34,18,4
189,32,M,artist,0,29,19,8,16,47,10,3,96,2,7,3,16,15,51,15,31,21,4
190,30,M,administrator,0,23,8,1,2,4,8,0,26,0,3,2,1,7,9,4,27,4,0
191,33,M,administrator,0,7,1,0,0,4,4,0,15,0,1,3,0,3,4,2,12,2,0
192,42,M,educator,0,8,4,0,0,12,3,1,18,0,1,0,1,1,9,7,4,4,0
193,29,M,student,0,37,16,2,6,42,13,0,38,2,1,8,4,8,29,9,29,6,4
194,38,M,administrator,0,68,47,17,31,101,20,0,126,4,6,9,21,10,55,30,40,35,13
195,42,M,scientist,0,36,14,1,6,18,5,1,40,1,1,3,5,3,17,17,26,5,0
196,49,M,writer,0,3,4,0,2,32,0,1,11,1,0,0,0,0,11,2,0,2,0
197,55,M,technician,0,76,32,1,2,17,18,0,37,0,3,6,3,6,22,24,36,17,5
198,21,F,student,0,56,32,6,8,49,13,1,72,3,4,13,8,7,33,31,40,20,5
199,30,M,writer,0,5,2,4,7,15,1,1,17,1,0,0,2,3,9,2,7,2,0
200,40,M,programmer,0,79,57,16,42,52,10,1,61,10,2,10,17,4,36,43,50,17,4
201,27,M,writer,0,87,39,11,12,70,41,6,196,2,9,41,14,17,59,40,92,31,7
202,41,F,educator,0,5,2,1,2,8,0,0,9,1,1,0,0,2,4,7,2,4,0
203,25,F,student,0,14,12,2,5,11,6,0,19,0,0,1,1,0,7,8,10,7,0
204,52,F,librarian,0,4,2,1,3,12,5,1,24,0,1,1,0,4,6,2,10,4,0
205,47,M,lawyer,0,6,1,0,2,5,0,0,11,0,0,0,1,3,6,1,9,2,0
206,14,F,student,0,11,0,0,2,9,6,2,32,1,3,4,1,5,12,4,20,5,0
207,39,M,marketing,0,57,18,2,5,84,23,3,100,3,2,3,5,8,51,17,51,19,6
208,43,M,engineer,0,2,1,0,1,25,3,0,9,0,1,1,1,1,14,1,2,2,2
209,33,F,educator,0,6,5,2,2,10,3,2,13,0,0,1,0,1,9,4,5,4,0
210,39,M,engineer,0,35,17,7,14,59,9,0,44,5,4,7,8,5,31,19,19,15,3
211,66,M,salesman,0,14,10,1,3,4,1,0,20,1,0,1,2,0,6,5,4,8,0
212,49,F,educator,0,3,1,0,1,2,1,1,21,1,0,0,0,1,5,2,0,8,0
213,33,M,executive,0,36,23,2,5,30,14,1,56,0,0,6,4,4,23,20,34,23,1
214,26,F,librarian,0,23,10,3,3,33,19,2,69,0,2,4,4,11,30,15,25,11,0
215,35,M,programmer,0,30,19,2,7,20,6,0,40,1,1,6,5,2,17,28,20,12,1
216,22,M,engineer,0,30,17,5,6,54,14,0,57,2,2,7,3,4,22,12,24,10,1
217,22,M,other,0,69,29,0,1,5,8,0,10,1,0,4,0,1,9,21,32,6,2
218,37,M,administrator,0,11,3,0,1,26,10,0,18,0,3,3,2,3,6,6,20,2,1
219,32,M,programmer,0,7,2,2,2,8,0,0,15,0,0,1,2,1,5,5,6,3,0
220,30,M,librarian,0,3,0,0,0,5,1,0,10,0,0,3,2,2,4,4,8,1,0
221,19,M,student,0,54,26,2,6,47,21,3,47,1,0,4,3,3,21,23,40,9,1
222,29,M,programmer,0,115,62,19,43,131,29,1,128,6,5,27,20,13,61,52,78,27,8
223,19,F,student,0,22,12,7,14,45,6,0,31,3,0,4,7,6,23,7,28,5,1
224,31,F,educator,0,25,11,0,2,19,11,0,104,1,0,1,0,7,36,7,30,14,5
225,51,F,administrator,0,5,2,1,1,6,2,0,15,0,0,0,4,2,6,1,6,4,1
226,28,M,student,0,8,4,3,1,11,5,1,28,0,1,0,2,3,6,9,11,5,2
227,46,M,executive,0,10,3,1,0,17,8,0,29,1,1,1,1,4,10,5,13,3,0
228,21,F,student,0,2,2,0,1,3,2,0,16,0,0,1,0,1,5,1,3,3,0
229,29,F,librarian,0,9,1,0,0,4,2,0,19,0,1,1,0,4,8,3,13,2,0
230,28,F,student,0,33,25,12,24,32,7,0,50,3,2,5,18,5,27,16,22,17,6
231,48,M,librarian,0,10,6,1,2,5,1,0,8,0,0,0,1,1,7,4,4,4,0
232,45,M,scientist,0,17,9,1,6,24,6,3,58,1,1,1,8,4,26,11,9,16,2
233,38,M,engineer,0,17,11,7,15,25,12,2,63,1,2,2,9,4,20,8,12,16,4
234,60,M,retired,0,65,50,16,49,143,33,7,213,8,15,18,36,26,94,31,79,38,11
235,37,M,educator,0,16,11,1,2,31,4,1,48,0,0,1,3,4,22,12,12,16,1
236,44,F,writer,0,28,16,4,10,28,8,0,62,2,1,5,9,7,30,14,28,15,6
237,49,M,administrator,0,7,2,2,1,10,4,0,23,1,3,2,2,6,10,5,14,11,0
238,42,F,administrator,0,9,6,1,2,13,0,0,7,0,0,0,1,1,10,6,5,4,0
239,39,M,artist,0,19,13,2,6,43,10,4,76,1,5,9,9,13,28,17,22,21,2
240,23,F,educator,0,10,1,0,0,4,3,0,7,0,1,5,1,2,5,3,12,3,0
241,26,F,student,0,5,0,0,0,2,4,0,12,0,1,5,0,4,3,2,10,2,0
242,33,M,educator,0,0,1,1,1,3,2,0,11,0,0,0,0,1,10,0,3,2,0
243,33,M,educator,0,6,4,1,6,27,3,1,59,1,0,1,0,1,26,2,4,8,1
244,28,M,technician,0,47,20,9,8,101,8,1,100,2,2,8,10,4,50,22,31,22,4
245,22,M,student,0,7,8,3,7,9,0,0,3,1,0,0,3,0,5,5,4,3,0
246,19,M,student,0,69,39,13,20,69,18,1,44,2,0,24,13,5,32,37,48,13,6
247,28,M,engineer,0,9,6,1,3,8,1,1,10,0,0,0,0,0,6,8,4,4,0
248,25,M,student,0,24,8,2,1,12,8,0,18,0,2,6,1,3,7,15,14,11,1
249,25,M,student,0,55,24,7,4,44,24,1,61,3,2,3,4,9,27,27,49,16,1
250,29,M,executive,0,25,12,11,15,34,13,1,42,1,1,7,10,8,20,20,38,7,0
251,28,M,doctor,0,31,17,3,5,20,5,1,23,1,0,3,3,2,16,14,26,7,0
252,42,M,engineer,0,1,0,1,1,3,2,1,17,0,0,0,0,1,7,1,4,1,0
253,26,F,librarian,0,30,14,3,8,27,9,0,36,0,1,6,5,3,21,10,27,8,3
254,44,M,educator,0,44,50,16,52,42,5,1,48,8,0,14,21,3,17,29,15,15,5
255,23,M,entertainment,0,37,13,0,1,7,5,0,13,1,0,28,0,5,5,13,42,4,1
256,35,F,none,0,73,36,4,9,57,18,0,68,1,3,10,6,6,55,25,71,11,4
257,17,M,student,0,6,4,0,1,9,5,1,40,0,0,2,1,4,21,5,6,5,0
258,19,F,student,0,7,1,0,1,4,1,0,11,0,0,1,1,2,8,1,10,3,0
259,21,M,student,0,16,8,0,0,12,3,0,18,0,1,4,1,2,9,9,10,8,1
260,40,F,artist,0,10,1,1,1,3,2,0,9,0,0,4,3,6,4,2,11,2,0
261,28,M,administrator,0,8,2,1,5,11,0,0,8,1,0,1,1,2,4,0,9,3,0
262,19,F,student,0,27,16,12,19,53,11,0,64,4,0,11,17,2,45,20,30,9,0
263,41,M,programmer,0,35,19,5,15,25,4,0,55,3,1,3,10,8,21,17,29,23,6
264,36,F,writer,0,12,7,1,0,63,10,3,38,1,3,21,4,4,22,9,16,4,1
265,26,M,executive,0,14,8,2,3,13,5,0,21,1,0,1,0,2,9,6,15,4,0
266,62,F,administrator,0,2,1,0,0,3,1,0,20,0,0,0,2,1,9,0,3,2,0
267,23,M,engineer,0,74,35,7,5,57,20,0,50,4,4,6,6,8,26,39,50,21,5
268,24,M,engineer,1,113,55,16,21,118,29,1,76,5,7,27,15,16,43,51,86,20,10
269,31,F,librarian,0,51,27,2,14,110,31,4,148,4,10,18,14,19,59,36,53,28,7
270,18,F,student,0,30,12,1,2,28,6,0,56,1,0,24,3,6,43,15,44,7,1
271,51,M,engineer,0,45,29,6,14,87,20,3,134,6,6,6,14,15,59,21,47,33,10
272,33,M,scientist,0,15,6,0,2,12,6,2,22,1,1,6,0,2,7,8,10,12,0
273,50,F,other,0,2,1,0,1,7,2,0,15,0,0,1,1,3,6,0,5,2,0
274,20,F,student,0,14,11,3,6,24,2,0,27,2,0,4,4,1,24,5,13,8,0
275,38,M,engineer,0,42,32,22,25,20,0,0,18,2,1,4,18,3,9,26,19,10,2
276,21,M,student,0,158,76,24,37,158,52,4,168,10,6,47,25,23,64,78,135,28,12
277,35,F,administrator,0,11,8,2,3,12,9,0,29,1,1,0,1,4,14,7,11,5,0
278,37,F,librarian,0,6,1,1,1,5,1,0,13,0,2,1,1,3,5,1,8,4,0
279,33,M,programmer,0,116,60,20,32,211,28,4,99,7,4,19,18,12,65,50,59,24,9
280,30,F,librarian,0,73,39,13,32,83,18,0,87,6,2,12,15,7,54,31,56,20,4
281,15,F,student,0,5,4,2,5,6,1,0,7,1,0,2,3,4,3,2,9,3,0
282,22,M,administrator,0,7,3,0,0,4,3,0,7,0,1,3,1,4,2,4,9,2,0
283,28,M,programmer,0,8,7,6,8,36,4,0,8,1,0,2,9,2,12,4,5,2,1
284,40,M,executive,0,7,2,0,3,9,6,0,26,0,1,2,2,8,12,2,13,3,0
285,25,M,programmer,0,5,2,1,2,9,6,0,14,0,1,4,2,4,8,4,10,2,0
286,27,M,student,0,53,39,17,27,131,21,2,98,5,2,15,22,7,61,34,41,11,3
287,21,M,salesman,0,20,8,3,2,23,9,0,22,0,0,5,0,3,11,11,18,5,0
288,34,M,marketing,0,16,9,0,1,11,7,1,48,0,0,2,3,1,11,6,7,21,3
289,11,M,none,0,13,8,2,4,7,2,0,7,0,0,0,2,1,3,4,6,2,0
290,40,M,engineer,0,53,43,14,28,46,3,0,43,6,2,4,17,5,24,33,27,22,2
291,19,M,student,0,78,33,15,22,93,27,1,89,6,3,28,12,11,36,33,90,14,6
292,35,F,programmer,0,38,19,3,5,23,12,4,48,2,6,5,6,12,22,20,37,14,4
